cgroup,commoditycode,pci,exp_share
Core countries,2008,-1.15372592941176,0.000989322789772568
Periphery countries,2008,-1.15372592941176,0.0034309229186001
Core countries,2009,-0.906537033529412,0.00135622520731424
Periphery countries,2009,-0.906537033529412,0.00135880944109157
Core countries,2101,-0.566946454117647,0.000343595154144541
Periphery countries,2101,-0.566946454117647,0.000520682305417345
Core countries,2102,-0.513854442941176,8.5852966434696e-05
Periphery countries,2102,-0.513854442941176,0.000166330153795854
Core countries,2103,-0.306979957529412,0.000689218762074635
Periphery countries,2103,-0.306979957529412,0.00065969519983822
Core countries,2104,-0.419946121176471,0.00018861366402109
Periphery countries,2104,-0.419946121176471,0.000295440422695856
Core countries,2105,-0.0647225485,0.000297423336741117
Periphery countries,2105,-0.0647225485,0.000465964462147823
Core countries,2106,-0.127567827647059,0.00189711514194988
Periphery countries,2106,-0.127567827647059,0.00387396041405326
Core countries,2201,-0.405341185882353,0.000432531228040539
Periphery countries,2201,-0.405341185882353,0.000372208913970142
Core countries,2202,-0.403594324705882,0.00295735904147981
Periphery countries,2202,-0.403594324705882,0.00104360024101241
Core countries,2203,-0.286690488823529,0.00147739981832549
Periphery countries,2203,-0.286690488823529,0.00156694409837933
Core countries,2204,-0.508982511176471,0.000701287539637044
Periphery countries,2204,-0.508982511176471,0.00796124493702999
Core countries,2205,-0.354949538994118,2.01973687608786e-05
Periphery countries,2205,-0.354949538994118,0.000181598168332369
Core countries,2206,0.161295234294118,6.11935652148425e-05
Periphery countries,2206,0.161295234294118,0.000173991676577726
Core countries,2207,-1.15705572,0.000316131754676319
Periphery countries,2207,-1.15705572,0.000153615301039022
Core countries,2208,-0.397102357058824,0.00087063642632779
Periphery countries,2208,-0.397102357058824,0.00287496141097294
Core countries,2209,-0.389980742941177,1.45941492573323e-05
Periphery countries,2209,-0.389980742941177,0.000222645508221125
Core countries,2301,-1.4151799,0.000118356826880983
Periphery countries,2301,-1.4151799,0.000172898765939681
Core countries,2302,-1.6921485,0.000105393947168288
Periphery countries,2302,-1.6921485,4.9707264027633e-05
Core countries,2303,0.106007444823529,0.000146986028807618
Periphery countries,2303,0.106007444823529,9.59007444150331e-05
Core countries,2304,-0.755099211176471,0.000708027815951992
Periphery countries,2304,-0.755099211176471,0.000384168068345052
Core countries,2305,-1.29655116,1.54062365957011e-06
Periphery countries,2305,-1.29655116,5.79163087706879e-07
Core countries,2306,-1.06323145,0.000241111055862559
Periphery countries,2306,-1.06323145,0.000147064387141779
Core countries,2307,-0.319839078529412,5.65137449507868e-07
Periphery countries,2307,-0.319839078529412,7.26731690472611e-06
Core countries,2308,-0.437316961823529,3.025588674868e-05
Periphery countries,2308,-0.437316961823529,2.34948165609722e-05
Core countries,2309,-0.139516330294118,0.00203300472911462
Periphery countries,2309,-0.139516330294118,0.00107099697871435
Core countries,2401,-1.83958811764706,0.000320675683223933
Periphery countries,2401,-1.83958811764706,0.00322815186371135
Core countries,2402,-0.80919873,0.00360747524831147
Periphery countries,2402,-0.80919873,0.0032758607537667
Core countries,2403,-0.546523876470588,0.000881197155999561
Periphery countries,2403,-0.546523876470588,0.000396534880927241
Core countries,2501,-1.11168731,0.000201333422611566
Periphery countries,2501,-1.11168731,0.000148910042766689
Core countries,2502,-0.418498205911765,5.57402970262811e-05
Periphery countries,2502,-0.418498205911765,2.99015303039969e-05
Core countries,2503,-1.14899912,4.85161089338351e-05
Periphery countries,2503,-1.14899912,0.000108532037019344
Core countries,2504,-0.359398404176471,1.17574933182008e-05
Periphery countries,2504,-0.359398404176471,3.1566275968494e-06
Core countries,2505,-0.494496181764706,0.000160524423763963
Periphery countries,2505,-0.494496181764706,5.63617566896188e-05
Core countries,2506,-0.981729161176471,1.26804408475088e-05
Periphery countries,2506,-0.981729161176471,4.0102009497706e-05
Core countries,2507,0.150639556344706,0.000106750412435789
Periphery countries,2507,0.150639556344706,5.20243344273716e-05
Core countries,2508,-0.448934252117647,0.000170472908729897
