"","year","ccode","Exports","ULC_index","GDP_pc_PPP","OECD_GERD","Wages","pop","TECH","eci_rank","eci_rank_normed","RULC","GERD_pc","ULCGR","rel_ULCGR","EXP","EXPGR","eciGR","eci_rank_change","eci_rank_normed_change","world_GDPg","CAP.ACCU","TOT","HC","TAXBURDEN","real_gdp","gdp_growth","REER","INFLATION","PART.GROWTH","PRIMARY"
"27",1996,"AUS",60.2,70.26125,22974.73917,9459.463876,41275,18.31834,0.311320641,101,0.528301887,69.11017,516.393072516396,0.0211436634628478,0.10894512636584,1.51282888950318,8.25128000505024,-86.309159053701,8,-0.041791571,3.385655271,8.288675138,52.96477925,3.487049341,28.822,576827.4375,0.0506120291222249,59.2186658118409,2.6124197,0.0349190651498615,0.436318186872763
"28",1997,"AUS",62.87,71.08832,24160.25514,NA,42497,18.512971,0.192278535,111,0.481132075,69.86987,NA,0.0117713533419914,0.0109925934200424,1.54492621853076,2.12167610298093,-619.524222765603,10,-0.047169812,3.702822113,8.815741898,52.67157168,3.49987483,28.603,603486.9375,0.0462174616997133,62.6641336406386,0.250417362,0.03123850642198,0.443040167523138
"29",1998,"AUS",55.89,70.79644,25342.18977,9440.656855,43147,18.709175,0.088804812,116,0.452380952,65.47555,504.600382165435,-0.004105878434038,-0.0628929179344402,1.36210762331839,-11.8334838919516,103.653020959125,5,-0.028751123,2.532416348,8.918564426,50.08104808,3.512747765,29.391,622528.6875,0.0315528784746894,56.1042626058603,0.853455454,-0.000980087726457299,0.441730786865385
"30",1999,"AUS",55.99,72.71038,26777.75563,NA,44197,18.906936,0.179403954,107,0.5,66.66393,NA,0.0270344102048069,0.0181499811761794,1.32816521530794,-2.49190353459401,-44.5640976109758,-9,0.047619048,3.255703306,9.309423325,52.08691679,3.525667667,29.789,651364.3125,0.0463201545229994,58.4703864882706,1.465428277,0.0379573274970201,0.451830357867253
"31",2000,"AUS",63.77,74.2763,27888.22951,10275.20417,44294,19.107251,0.096438408,128,0.440528634,62.87365,537.764651231096,0.0215364023678601,-0.056856533960719,1.38809982477335,4.51258689616501,73.615232195191,21,-0.059471366,4.388711945,8.369650834,52.95747675,3.538635492,30.377,672515.4375,0.0324720353788188,58.1892078580971,4.475183076,0.0445108248656406,0.458303105888308
"32",2001,"AUS",63.29,75.20516,29133.08851,NA,44742,19.308681,-0.048073351,133,0.421052632,59.0332,NA,0.0125054694431467,-0.0610820272085364,1.4240969168943,2.59326393379758,73.8559132062373,5,-0.019476002,1.914438493,8.875867782,53.73726699,3.527511835,28.89,694783.6875,0.0331118793090902,54.7385919519897,4.380841121,0.0110019465683152,0.475552143081334
"33",2002,"AUS",64.97,77.59889,30376.85316,12286.72923,45161,19.514385,0.082347274,127,0.444933921,61.76344,629.624209525435,0.0318293319235009,0.0462492292472711,1.41142171899304,-0.890051635594133,-38.3388335714771,-6,0.023881289,2.158631993,9.636286346,54.53647383,3.516423464,29.739,713336.5625,0.0267030952709292,57.6207866951485,3.00317105,0.0195324352791659,0.464771619267315
"34",2003,"AUS",70.36,79.29879,31827.64206,NA,45554,19.735255,0.119551093,120,0.478070175,70.61902,NA,0.0219062411846355,0.143378995729513,1.3294284364667,-5.80926886861557,-17.7365196955608,-7,0.033136254,2.905080926,10.0479227,58.60421942,3.505369663,29.926,742670.1875,0.0411217180529703,64.0202531589838,2.770735241,0.01906601748329,0.463371269631889
"35",2004,"AUS",86.35,82.3462,33454.90467,13849.27647,46856,19.985475,0.08854729,125,0.456140351,77.87029,692.96709084973,0.038429464056135,0.10268154386736,1.37827009943975,3.67388432752835,17.9675462813153,5,-0.021929824,4.448198821,10.22839167,64.15224041,3.494350672,30.258,767682.375,0.0336787283520789,71.1816243949377,2.343612335,0.0310906909104773,0.471580961020229
"36",2005,"AUS",105.74,85.19524,35068.84566,NA,47478,20.274282,0.111873702,124,0.460526316,81.46365,NA,0.0345983178337313,0.0461454554747389,1.53877945422371,11.6457111598956,-11.4593292910051,-1,0.00438596499999999,3.83004478,10.60854538,70.99617904,3.483366489,29.921,823623.6875,0.0728703879648142,76.7310901739198,2.668732782,0.0392411971642857,0.551703639821926
