iso3c,year,kof_trade_df,kof_trade_dj,trade_total_GDP,gvnt_cons,gvtn_expense
GBR,2008,48.32958984375,89.8854293823242,56.4678940798122,20.0161919640257,39.5523219453651
GBR,2009,48.2406311035156,91.3710479736328,54.4446812628143,21.5411917541681,41.963215247334
GBR,2010,50.9019393920899,92.3791732788086,58.5384505872882,21.2461243264423,42.66869337674
GBR,2011,54.4262008666992,91.3362808227539,62.0101231586103,20.5724254596709,41.3970177787669
GBR,2012,54.1530227661133,89.4482116699219,61.0876779446854,20.3626380046942,42.0632583360531
GBR,2013,54.5851745605469,88.3821105957031,61.0946054354991,19.6773832754136,39.776091820635
GBR,2014,51.2648506164551,91.5132141113281,58.0307922539507,19.3624664167067,38.9653499033506
GBR,2015,50.3822708129883,91.1739501953125,56.2391637686534,19.0431782445661,38.1103564173962
GBR,2016,52.454776763916,91.6719589233398,58.1261766802537,18.6833976128242,37.0848997016538
GBR,2017,,,61.426287391523,18.306678916038,36.4197618203099
GBR,2018,,,,18.2314125920092,
GBR,2019,,,,,
GBR,2020,,,,,
GRC,1965,,,27.9983929303089,10.1893351993692,
GRC,1966,,,28.6438713248247,10.2649663072927,
GRC,1967,,,27.3931715597711,11.3131684982326,
GRC,1968,,,26.7293939874267,11.2013720405839,
GRC,1969,,,27.1472143795091,11.0476816881337,
GRC,1970,20.1190795898438,44.8337593078613,23.1099432945152,12.6364439782864,
GRC,1971,19.7237300872803,44.8337593078613,23.3191999373868,12.4319422276511,
GRC,1972,19.1307048797607,44.8337593078613,25.317664166809,11.9725388488756,16.0942847416493
GRC,1973,21.0837306976318,44.1636009216309,31.7303507050904,11.0679008337523,15.8096927944384
GRC,1974,23.617919921875,44.4986801147461,35.4769068062614,13.6317750175051,18.1995351264065
GRC,1975,24.7802467346191,57.7645606994629,35.3229907141739,14.854587326545,17.9048185725493
GRC,1976,25.37327003479,59.3057861328125,34.8786922444993,14.5726332123053,19.3635398503985
GRC,1977,25.2109432220459,59.3057861328125,34.6615836934354,15.4327740027312,20.3091167169201
GRC,1978,24.6532688140869,58.8365287780762,33.1365956643507,15.2239120031966,20.1528654750819
GRC,1979,26.0723381042481,58.1663665771484,35.5322117114342,15.642662256849,19.9763843287077
GRC,1980,28.9738597869873,59.4126396179199,44.5858238010235,15.6260672064044,21.3979220390086
GRC,1981,29.5180320739746,66.3110656738281,47.1403354745787,17.1766230234589,24.177432435252
GRC,1982,26.5677680969238,68.944938659668,41.8515323822009,17.4033210612377,33.6967352089635
GRC,1983,25.1145210266113,70.3487014770508,41.1755423934634,17.9941935360773,27.3790118934817
GRC,1984,25.0072708129883,71.6308135986328,40.8984853797075,18.5488115277785,31.2459933321837
GRC,1985,25.8910007476807,73.4085006713867,40.3879757055887,19.2810046258419,31.5790577462698
GRC,1986,23.0235214233398,74.5860290527344,42.6520449558576,18.2792731583659,31.3980404717653
GRC,1987,23.931432723999,74.8141708374024,42.3183569569429,18.6216600185709,34.3387546989034
GRC,1988,21.4588069915771,75.0116577148438,39.6132347161484,16.3805405177118,34.1257651498907
GRC,1989,23.336784362793,75.3993911743164,40.7838553083406,17.3947200768986,38.2718822527603
GRC,1990,23.6025257110596,75.8308792114258,40.1283071274251,17.4830474462891,42.2902887619839
GRC,1991,24.5041751861572,76.4988784790039,38.5927873229398,16.4900859451311,
GRC,1992,25.5294437408447,77.6045837402344,38.8225929412009,15.948418245276,
GRC,1993,27.6341819763184,78.8168182373047,37.0258986062577,16.599062686238,
GRC,1994,27.5905685424805,79.369987487793,36.1631218934692,15.9849004781327,
GRC,1995,25.1822872161865,80.4839248657227,37.1078807984061,17.7926939066269,44.7672338731719
GRC,1996,25.2633647918701,83.5783386230469,37.4962334395069,17.6078259335143,44.16972306395
GRC,1997,25.8935470581055,88.7944183349609,39.2742287484754,17.6826813277793,42.814109105161
GRC,1998,34.2133178710938,90.7912750244141,42.2682802501338,17.4975182507515,43.1972669744609
GRC,1999,40.9311714172363,93.4521865844727,47.3775984365774,17.9800733018703,42.30401227478
GRC,2000,50.7567329406738,94.9866485595703,58.4156775406902,18.2600035865329,43.3438446723123
GRC,2001,49.5054588317871,92.0772094726563,56.1399692678095,18.714974645409,42.8703297530033
GRC,2002,44.6874580383301,92.9375305175781,50.3489962575686,19.2273132544016,42.4291421228844
GRC,2003,42.1945915222168,94.7400512695313,48.1900537175606,18.9588539701484,42.4370704853263
GRC,2004,44.5438423156738,90.8516311645508,49.8984415953514,19.1550228114664,43.8467020512412
GRC,2005,45.2902183532715,88.6614303588867,50.9008641205698,20.0202330717988,43.3718115491169
GRC,2006,45.4893341064453,86.2251510620117,52.8502386406672,20.155482659378,42.8473919339024
GRC,2007,47.5897598266602,85.6060180664063,57.5243742223839,20.5202834951824,44.4995299626488
GRC,2008,50.1217002868652,84.5486373901367,59.3297157210787,20.7211321163295,47.7419785338343
GRC,2009,42.5967407226563,85.3065643310547,47.7438465419344,23.3090126020452,51.7146623800752
GRC,2010,48.0792999267578,85.9394989013672,52.8290979327057,22.2041579265701,50.8685855106979
GRC,2011,51.6847038269043,84.7939376831055,57.8446200446513,21.7861700860044,54.2687583252306
GRC,2012,55.5434875488281,86.554817199707,61.8177666440886,21.7381930403526,55.7451995467296
GRC,2013,57.0174026489258,87.3358993530274,63.5191424472248,20.4388941442401,60.3965775040997
GRC,2014,59.2875747680664,90.9972839355469,67.1494536906228,20.2790768191976,49.0763057094027
GRC,2015,55.0445556640625,89.5860748291016,63.0551607750752,20.2970272500423,51.735783926449
GRC,2016,53.2711219787598,90.6234970092773,60.8405277004676,20.0586905009304,48.3630761170842
GRC,2017,,,67.0005550057431,19.8067237992089,47.3710683962264
GRC,2018,,,,19.1446837815855,
GRC,2019,,,,,
GRC,2020,,,,,
HUN,1965,,,,,
HUN,1966,,,,,
HUN,1967,,,,,
HUN,1968,,,,,
HUN,1969,,,,,
HUN,1970,54.786060333252,49.0585670471192,,,
HUN,1971,54.1930351257324,49.0585670471192,,,
HUN,1972,53.0069885253906,49.0585670471192,,,
HUN,1973,52.8093147277832,49.0585670471192,,,
HUN,1974,53.6000137329102,49.0585670471192,,,
HUN,1975,55.1814117431641,59.1372451782227,,,
HUN,1976,53.7976875305176,59.1372451782227,,,
HUN,1977,53.0069885253906,59.1372451782227,,,
HUN,1978,52.4139633178711,59.1372451782227,,,
HUN,1979,52.0186157226563,59.1372451782227,,,
HUN,1980,52.0050048828125,59.2275390625,,,
HUN,1981,52.3968734741211,59.0754623413086,,,
HUN,1982,53.767578125,59.8800354003906,,,
HUN,1983,54.922046661377,58.7887229919434,,,
HUN,1984,54.0963096618652,60.203182220459,,,
HUN,1985,52.9074897766113,60.3280487060547,,,
HUN,1986,51.7694702148438,59.5323028564453,,,
HUN,1987,50.8148880004883,59.4311408996582,,,
HUN,1988,51.2038230895996,60.2501678466797,,,
HUN,1989,49.4952621459961,60.4575805664063,,,
HUN,1990,46.8434028625488,59.810432434082,,,
HUN,1991,46.1720657348633,60.6753692626953,58.2710457850948,24.8818290588673,49.7626087093019
HUN,1992,46.3789405822754,62.0432434082031,55.35592533148,25.7123730893378,51.4610612567371
HUN,1993,42.8812026977539,63.4712638854981,53.4749030083565,27.6854824829246,50.4322446668654
HUN,1994,48.2696342468262,63.4238548278809,56.3703873526934,25.4356100408768,51.1384623287512
HUN,1995,58.8463478088379,60.9032402038574,78.2640717810733,22.8352434088984,50.9902524713257
HUN,1996,64.8687210083008,64.0686798095703,83.1866331651518,21.587122097072,46.7514191717922
HUN,1997,67.2742767333984,70.4928207397461,94.7509508060129,21.2006957766043,44.5874727380892
HUN,1998,69.1613464355469,74.6237106323242,107.209985089616,20.8316553452881,45.0143332296336
HUN,1999,70.2407836914063,76.0027694702148,113.726208050693,21.0729894493936,43.6792240374006
HUN,2000,74.4351959228516,78.4767608642578,136.990371738763,21.0167449259083,41.1390228997982
HUN,2001,74.1014709472656,78.5426712036133,130.697897819683,20.9426677269943,40.7535079466849
HUN,2002,71.0991134643555,77.0533676147461,117.95138503124,21.7362456118247,42.7515075851721
HUN,2003,71.4568862915039,76.1321487426758,116.428384300513,22.9241799353548,42.5507492116325
HUN,2004,70.3897552490234,92.5027694702148,122.982849289836,21.9643493257617,41.5645136552951
HUN,2005,71.8972091674805,91.7912673950195,127.353678299707,22.0907469365972,41.7914944583039
HUN,2006,74.36572265625,88.6009902954102,149.052826370595,22.0079748667568,42.9201362726578
HUN,2007,76.2504425048828,88.0779418945313,155.20008517063,20.7587600321399,42.4057174912951
HUN,2008,77.5371704101563,88.0056533813477,158.207962673611,21.3360224434914,44.2832200040965
HUN,2009,78.4049682617188,89.3746337890625,144.781390101437,22.0323226035857,45.0673962796188
HUN,2010,79.5665588378906,90.0646209716797,158.352697867102,21.5067263249681,43.9573857451491
HUN,2011,80.9032592773438,85.5616683959961,167.38804373993,20.6556679262113,45.2933371555168
HUN,2012,80.6034164428711,84.4101104736328,166.125856222689,19.9990660525962,44.0061597444764
HUN,2013,80.810302734375,84.6493682861328,164.348415700949,19.6801929104293,46.0737510800217
HUN,2014,81.1318588256836,93.0757827758789,168.968519085042,19.9773479914204,44.473672865074
HUN,2015,81.2661972045899,88.9878616333008,169.838228404571,19.8455440033411,42.9044537627106
HUN,2016,81.0988922119141,89.7460784912109,169.444823906601,20.2138817223318,43.5725177598155
HUN,2017,,,168.934508474293,20.2458941916873,42.121959344927
HUN,2018,,,,19.0857482078796,
HUN,2019,,,,,
HUN,2020,,,,,
IRL,1965,,,73.8007775559928,14.3362796476401,
IRL,1966,,,75.4163262318285,14.3145051839303,
IRL,1967,,,73.8273013291116,14.0810578173681,
IRL,1968,,,78.8544792144789,14.1309571951243,
IRL,1969,,,78.468157150235,14.2639306877738,
IRL,1970,64.9732284545899,50.6665649414063,74.3369935197931,16.3126961818802,
IRL,1971,64.9732284545899,50.6665649414063,72.1174736836888,16.9791608080429,
IRL,1972,64.4157943725586,50.6665649414063,67.5482830247531,17.0737035941801,28.6248353708705
IRL,1973,68.6816101074219,65.4477462768555,75.1456575822427,17.4344013125147,28.6188050367311
IRL,1974,74.2481231689453,65.9508056640625,90.5682170344591,19.1289345625564,31.4926873715761
IRL,1975,71.7613754272461,66.9560470581055,82.9473471491169,20.7158247332606,34.7823967181167
IRL,1976,74.6671905517578,66.9898529052734,91.1292982124886,20.0915720370749,35.2745934998474
IRL,1977,77.3634719848633,69.0012054443359,97.8826363341295,18.9990131225942,34.0611593477185
IRL,1978,77.1658020019531,73.5581588745117,99.592913347979,19.0518995313123,35.314377121582
