OLS,FD,LSDV,FE,fe_rel
3.91545053535501,3.89689457298041,3.91138961867579,3.91138961867579,0
4.01584908129241,3.88948282391232,3.96704562811971,3.96704562811971,0
4.0495678741386,4.04188747111517,4.03433357663563,4.03433357663563,0
3.94673674640607,4.006530320919,3.9842212477256,3.9842212477256,0
3.97038159549963,4.11321983509356,4.05981146051615,4.05981146051616,0
3.8895025906728,3.91575075759091,3.91178309214381,3.91178309214381,0
3.99535575007519,4.10761977929128,4.12962229196418,4.12962229196418,0
3.99218278724508,3.97346468908911,3.97365345944383,3.97365345944384,0
4.15296439343916,4.05037883912365,4.06172062424818,4.06172062424818,0
3.93410816421537,3.98183196058797,3.95089486032677,3.95089486032677,0
3.88144978564322,3.97959891512983,4.01048535439976,4.01048535439976,0
3.962036181496,4.0342823059219,3.98031411151515,3.98031411151516,0
3.93021982459024,3.97917776398577,3.92826322821233,3.92826322821233,0
4.12918509578337,4.0869116472894,4.05327863940185,4.05327863940185,0
3.88040680759021,4.03239806280528,4.00105312391902,4.00105312391902,0
3.88515529606357,3.98349504570968,3.95039727630347,3.95039727630347,0
4.05387257614045,4.04000080451708,4.04001996780144,4.04001996780144,0
3.94357448139353,3.94121496023631,3.91806612411815,3.91806612411815,0
3.93738917376502,3.94959485841904,3.9833907888552,3.9833907888552,0
3.99794395312666,4.01124929333523,4.05615357842341,4.05615357842341,0
4.01001157164548,3.92777763280072,3.9990722692782,3.9990722692782,0
4.17832149378415,4.15651006582357,4.1548422791145,4.1548422791145,0
3.92749181800277,4.0413473441985,4.02528024727895,4.02528024727895,0
3.92085937833759,3.9281557041105,3.9163730548091,3.9163730548091,0
3.95448903412509,3.92743929513907,3.87376850995655,3.87376850995655,0
3.9675217066434,3.95441478528769,3.94345670339088,3.94345670339088,0
3.98520933534362,3.97465270551633,3.99682021164612,3.99682021164612,0
3.93631652282338,4.0103743902594,3.95767731928093,3.95767731928093,0
3.9325828623108,4.08492129130743,4.05872141784467,4.05872141784467,0
3.93106663352589,3.98807704335812,4.08187834391705,4.08187834391705,0
4.01116576636198,4.02366277575846,3.98521906756249,3.98521906756249,0
4.0995068065639,4.08790030564229,4.00266072073189,4.00266072073189,0
4.05560944087655,4.05825624059353,4.00223864398195,4.00223864398195,0
3.80368476051756,3.84284620850576,3.90851696412957,3.90851696412957,0
4.24431884349542,4.06772833663248,4.14784362137406,4.14784362137406,0
4.01325240187589,4.02079732034568,4.01370381799125,4.01370381799125,0
3.99857165471033,4.02297790767788,3.9944385625904,3.9944385625904,0
4.05619041882671,4.0159184481315,4.02117439489584,4.02117439489584,0
3.99695669042073,4.1378615765782,4.13587345310864,4.13587345310863,0
3.93317132325375,3.9964851207067,3.93719818852652,3.93719818852652,0
4.02025733349373,4.07541793750569,4.01328461871468,4.01328461871468,0
4.05822969454665,4.05717749006191,4.04511733229581,4.04511733229581,0
3.99384928776555,4.06156156139445,4.05192150237786,4.05192150237786,0
3.91695135266042,3.97616230719918,3.98545913803403,3.98545913803403,0
4.13292551781294,3.92338207098061,3.93903245415019,3.93903245415019,0
4.00818600628904,4.11443911514556,4.04261992549844,4.04261992549845,0
3.95199939178172,4.03410164610677,3.99042212029168,3.99042212029168,0
3.93076460643082,3.99423523698624,3.99316758153293,3.99316758153293,0
3.82155808703594,3.91348505846455,3.98275565805539,3.98275565805539,0
3.89240656850337,4.01339097572307,3.95992866467402,3.95992866467402,0
4.13892721358967,4.02808837862277,4.04891580872467,4.04891580872467,0
3.99873417455796,3.94660897840802,3.9301749270453,3.9301749270453,0
4.14906683986339,4.1309637484511,4.10550340637426,4.10550340637426,0
3.97816944671693,4.04080565455087,3.99482452063969,3.99482452063969,0
3.87457438968696,3.93927603955673,3.938614687144,3.938614687144,0
3.79996895934644,3.8655152535215,3.94547302256667,3.94547302256667,0
4.05325138317927,3.92687371724966,3.98423455700911,3.98423455700911,0
3.9297297096131,3.90897858193766,3.85981378692669,3.85981378692669,0
3.96326469857003,4.01860658572967,4.00364464846123,4.00364464846124,0
4.00889965229353,4.05593747860236,4.01397416039876,4.01397416039876,0
3.93252325597549,4.00837054171979,3.99144122054655,3.99144122054655,0
4.22580897927888,4.12371771377135,4.12224048796624,4.12224048796623,0
4.08540693522613,4.07835578808499,4.02876878356823,4.02876878356823,0
4.02426553299289,4.01980716990508,4.01800800838295,4.01800800838294,0
4.23441880414357,4.1617984668298,4.08057936416985,4.08057936416985,0
3.99611050509505,4.10484800692841,4.08609176998209,4.08609176998208,0
